n	distribution	param	algorithm	record	thread
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	i-opt-8	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
1000000	uniform	42	b-eyt-p	8	1
