alg median quantile
b-lr 1.0 0.00900938132826398
b-lr-over 1.0617376042123738 0.005357605286723183
b-lr-noeq 0.8174109857442066 0.009222865659028604
b-lr-4 1.0430190956506744 0.0023828618504886678
b-lr-4-noeq 2.264682483972109 0.07884897599678228
b-lr-lin 3.224546908315565 0.13879646207168525
b-sz 1.0 0.012837204457869025
b-sz-pow 1.228731402975524 0.018595103298909666
b-sz-4 3.5145968701381904 0.2971984541052146
b-sz-lin 5.840912547528517 0.2025441917622054
i 1.0 0.25176960444136015
i-precompute 1.1167079975201486 0.3158698226091553
i-lin-fp 3.0394431554524357 1.612360163670718
i-lin 4.297643900984193 2.155871470759144
i-lin-save 4.291244788564621 2.1072848887263427
